Number_of_cities;Dataset;Fitness;Solution;Drone;Truck;A
50;RC101_1.5.dat;1062,657461;[[[[0, [16, 8, 7, 14, 5, 9, 36, 35, 1, 13, 15, 17, 40, 39, 2, 41, 4, 38, 10, 44]], [12, [12]], [11, [11]], [10, []], [9, []], [13, []], [15, []], [16, []], [17, []], [47, [47]], [14, []], [6, [6, 3]], [2, []], [7, []], [8, []], [46, [46]], [4, []], [5, []], [3, []], [45, [45]], [1, []], [43, [43]], [40, []], [36, []], [35, []], [37, [37]], [38, []], [39, []], [44, []], [42, [42]], [41, []]], [[0, [19, 49, 33, 29, 26, 28, 27, 24, 50, 22, 18, 48, 32, 25, 30, 31, 34, 23, 21]], [22, []], [24, []], [23, []], [25, []], [21, []], [48, []], [18, []], [19, []], [49, []], [20, [20]], [33, []], [30, []], [31, []], [29, []], [27, []], [26, []], [28, []], [32, []], [34, []], [50, []]]], [[[12, [12]]], [[11, [11]]], [[47, [47]]], [[20, [20]]], [[6, [6, 3]]], [[46, [46]]], [[45, [45]]], [[43, [43]]], [[37, [37]]], [[42, [42]]]]];2;2;2
50;RC101_1.5.dat;1061;[[[[0, [17, 16, 5, 44, 39, 35, 3, 1, 15, 38, 10, 36, 2, 8, 40, 6, 14, 13, 9, 4]], [12, [12]], [14, []], [47, [47]], [17, []], [16, []], [15, []], [13, []], [9, []], [11, [11]], [10, []], [7, [7]], [6, []], [2, []], [4, []], [46, [46]], [8, []], [45, [45]], [5, []], [3, []], [1, []], [43, [43]], [44, []], [39, []], [38, []], [37, [37]], [35, []], [36, []], [40, []], [42, [42]]], [[0, [22, 27, 19, 49, 26, 28, 24, 18, 29, 48, 50, 33, 31, 34, 25, 23, 21, 32, 30, 41]], [22, []], [24, []], [25, []], [23, []], [21, []], [48, []], [18, []], [19, []], [49, []], [20, [20]], [33, []], [32, []], [30, []], [28, []], [26, []], [27, []], [29, []], [31, []], [34, []], [50, []], [41, []]]], [[[12, [12]]], [[47, [47]]], [[11, [11]]], [[20, [20]]], [[7, [7]]], [[46, [46]]], [[45, [45]]], [[43, [43]]], [[37, [37]]], [[42, [42]]]]];2;2;4
50;RC101_1.5.dat;978,7729016;[[[[0, [27, 29, 26, 28, 33, 34, 30, 31, 48, 32, 25, 21, 23, 18, 50]], [25, []], [23, []], [21, []], [48, []], [18, []], [33, []], [32, []], [30, []], [28, []], [26, []], [27, []], [29, []], [31, []], [34, []], [50, []]], [[0, []], [49, [49, 19, 11, 35, 43, 46, 5, 3, 10, 16, 1]], [19, [2]], [22, [22, 14]], [20, [20, 24, 13]], [24, []], [10, []], [11, []], [14, []], [47, [47, 15, 9, 17, 36]], [17, []], [16, []], [15, []], [13, []], [9, []], [12, [12, 6, 7, 4]], [7, [45, 8, 41, 44, 42]], [2, []], [6, []], [8, []], [46, []], [4, []], [45, []], [5, []], [3, []], [1, []], [43, []], [40, [40, 37, 39]], [35, []], [36, []], [37, []], [38, [38]], [39, []], [44, []], [42, []], [41, []]]], [[[49, [1]]], [[49, [11, 35, 43, 46]]], [[49, [49, 19]]], [[49, [5, 3, 10, 16]]], [[19, [2]]], [[22, [22, 14]]], [[20, [20, 24, 13]]], [[47, [17, 36]]], [[47, [47, 15, 9]]], [[12, [12, 6, 7, 4]]], [[7, [45, 41]]], [[7, [8, 44, 42]]], [[40, [40, 37, 39]]], [[38, [38]]]]];2;2;8
50;RC101_1.dat;917;[[[[0, [33, 27, 29, 31, 34, 50, 21, 19, 23, 48, 49, 20, 22, 18, 25, 41, 30, 32, 26, 28]], [22, []], [49, []], [19, []], [48, []], [18, []], [23, []], [25, []], [21, []], [24, [24]], [20, []], [33, []], [30, []], [32, []], [26, []], [28, []], [27, []], [29, []], [31, []], [34, []], [50, []], [41, []]], [[0, [17, 16, 15, 47, 12, 5, 1, 13, 11, 10, 35, 36, 38, 43, 44, 9, 6, 8, 46, 3, 39]], [10, []], [11, []], [9, []], [13, []], [15, []], [16, []], [17, []], [47, []], [14, [14]], [12, []], [7, [7, 45]], [8, []], [46, []], [6, []], [2, [2]], [4, [4]], [45, []], [5, []], [3, []], [1, []], [42, [42]], [39, []], [37, [37]], [35, []], [36, []], [38, []], [40, [40]], [43, []], [44, []]]], [[[24, [24]]], [[14, [14]]], [[7, [7, 45]]], [[2, [2]]], [[4, [4]]], [[42, [42]]], [[37, [37]]], [[40, [40]]]]];2;2;2
50;RC101_1.dat;910,3967068;[[[[0, [28, 26, 27, 34, 29, 19, 18, 48, 20, 49, 23, 21, 25, 22, 33, 32, 30]], [22, []], [18, []], [48, []], [23, []], [21, []], [25, []], [24, [24]], [20, []], [19, []], [49, []], [50, [50, 31]], [32, []], [28, []], [26, []], [27, []], [29, []], [34, []], [33, []], [30, []], [31, []]], [[0, [46, 6, 11, 12, 17, 13, 10, 15, 8, 35, 9, 47, 16, 36, 3, 5, 42, 7, 45, 1, 43, 39, 41, 38, 44]], [12, []], [14, [14]], [47, []], [17, []], [16, []], [15, []], [13, []], [9, []], [11, []], [10, []], [7, []], [8, []], [4, [4]], [45, []], [1, []], [3, []], [5, []], [46, []], [6, []], [2, [2]], [42, []], [38, []], [37, [37]], [36, []], [35, []], [40, [40]], [43, []], [44, []], [39, []], [41, []]]], [[[24, [24]]], [[14, [14]]], [[4, [4]]], [[2, [2]]], [[50, [50, 31]]], [[37, [37]]], [[40, [40]]]]];2;2;4
50;RC101_1.dat;838,4703088;[[[[0, [34, 31, 29, 33, 32, 28, 23, 48, 25, 19, 20, 24, 22, 30, 26, 27]], [33, []], [32, []], [30, []], [28, []], [26, []], [27, []], [31, []], [29, []], [34, []], [50, [50, 18, 21]], [20, []], [19, []], [18, []], [48, []], [21, []], [25, []], [23, []], [24, []], [22, []]], [[0, [1]], [49, [49, 16, 11, 35]], [11, [5, 13, 46]], [13, []], [10, [10, 3, 4]], [14, [14, 47, 2]], [9, [9, 15]], [15, []], [16, []], [17, [17]], [47, []], [12, [12, 45, 40]], [6, [6, 44, 36, 38]], [46, []], [4, []], [45, []], [5, []], [3, []], [1, []], [2, []], [7, [37, 7, 8]], [8, []], [42, [42, 43]], [44, []], [43, []], [40, []], [36, []], [35, []], [37, []], [38, []], [39, [39, 41]], [41, []]]], [[[49, [49, 16]]], [[49, [11, 35]]], [[11, [5, 13, 46]]], [[10, [10, 3, 4]]], [[14, [14, 47, 2]]], [[9, [9, 15]]], [[17, [17]]], [[12, [12, 45, 40]]], [[6, [6, 36]]], [[6, [44, 38]]], [[50, [50, 18, 21]]], [[7, [37, 7, 8]]], [[42, [42, 43]]], [[39, [39, 41]]]]];2;2;8
50;RC101_2.5.dat;1448,942086;[[[[0, [36, 2, 7, 40, 39, 37, 43, 35, 13, 17, 47, 6, 5, 1, 45, 8, 46, 16, 41, 42, 44]], [41, []], [38, [38]], [39, []], [42, []], [44, []], [37, []], [36, []], [35, []], [40, []], [43, []], [1, []], [5, []], [3, [3]], [45, []], [8, []], [46, []], [4, [4]], [2, []], [6, []], [7, []], [9, [9]], [10, [10]], [13, []], [15, [15]], [16, []], [17, []], [47, []], [14, [14]]], [[0, [27, 33, 32, 28, 30, 26, 29, 31, 23, 25, 34, 19, 49, 21, 48, 18, 20, 11, 12, 22]], [22, []], [24, [24]], [23, []], [25, []], [21, []], [48, []], [18, []], [19, []], [49, []], [20, []], [33, []], [32, []], [30, []], [28, []], [26, []], [27, []], [29, []], [31, []], [34, []], [50, [50]], [11, []], [12, []]]], [[[24, [24]]], [[38, [38]]], [[3, [3]]], [[4, [4]]], [[50, [50]]], [[9, [9]]], [[10, [10]]], [[15, [15]]], [[14, [14]]]]];2;2;2
50;RC101_2.5.dat;1439;[[[[0, [21, 23, 24, 9, 13, 17, 47, 12, 48, 11, 16, 1, 8, 45, 2, 7, 46, 22, 20, 49, 19, 6]], [22, []], [20, []], [49, []], [19, [18, 25, 5]], [48, []], [18, []], [21, []], [23, []], [25, []], [24, []], [10, [10]], [11, []], [9, []], [13, []], [15, [15]], [16, []], [17, []], [47, []], [14, [14]], [12, []], [7, []], [8, []], [5, []], [3, [3]], [1, []], [45, []], [6, []], [46, []], [4, [4]], [2, []]], [[0, [27, 34, 33, 40, 35, 36, 43, 37, 41, 26, 28, 42, 39, 44, 31, 29, 30, 32]], [50, [50]], [31, []], [29, []], [27, []], [26, []], [28, []], [30, []], [32, []], [34, []], [33, []], [41, []], [42, []], [44, []], [43, []], [40, []], [38, [38]], [37, []], [36, []], [35, []], [39, []]]], [[[19, [18]]], [[19, [25, 5]]], [[10, [10]]], [[50, [50]]], [[15, [15]]], [[14, [14]]], [[38, [38]]], [[3, [3]]], [[4, [4]]]]];2;2;4
50;RC101_2.5.dat;1259,404791;[[[[0, [23, 13, 49]], [16, [16]], [13, []], [14, [14, 10, 18]], [10, [47, 7]], [6, [6, 17]], [7, []], [8, [8, 45]], [45, []], [47, []], [17, []], [12, [12, 48, 25]], [15, [15, 9, 21]], [9, []], [25, []], [21, []], [23, []], [18, []], [48, []], [19, [19, 24, 20]], [49, []], [22, [22]], [24, []], [20, []]], [[0, [1, 26]], [11, [11]], [46, [46]], [5, [5, 33, 29]], [4, [4, 3, 35, 31]], [1, []], [2, [2, 43]], [3, []], [43, []], [44, [44, 36, 38, 50, 28]], [35, []], [36, []], [38, []], [41, [41, 39]], [42, [42]], [39, [40, 37, 34, 27]], [40, []], [37, []], [50, [30, 32]], [34, []], [31, []], [29, []], [27, []], [26, []], [28, []], [30, []], [32, []], [33, []]]], [[[16, [16]]], [[11, [11]]], [[46, [46]]], [[5, [5, 33, 29]]], [[4, [4, 3, 35]]], [[4, [31]]], [[2, [2]]], [[2, [43]]], [[14, [14, 10, 18]]], [[44, [36, 50, 28]]], [[10, [47, 7]]], [[44, [44, 38]]], [[6, [6, 17]]], [[8, [8, 45]]], [[41, [41, 39]]], [[42, [42]]], [[39, [40, 37, 34, 27]]], [[12, [12, 48, 25]]], [[15, [15, 9, 21]]], [[50, [30, 32]]], [[19, [19, 24, 20]]], [[22, [22]]]]];2;2;8
50;RC101_2.dat;1266;[[[[0, [29, 30, 32, 28, 41, 38, 21, 27, 50, 26, 33, 23, 20, 22, 48, 24, 18, 34, 31, 19, 49]], [41, []], [39, [39, 25]], [38, []], [50, []], [34, []], [31, []], [29, []], [27, []], [26, []], [28, []], [30, []], [32, []], [33, []], [24, []], [25, []], [23, []], [21, []], [18, []], [48, []], [19, []], [49, []], [20, []], [22, []]], [[0, [35, 43, 8, 7, 42, 36, 17, 44, 47, 14, 12, 13, 1, 10, 40, 45, 46, 2]], [42, []], [44, []], [37, [37]], [36, []], [35, []], [40, []], [43, []], [3, [3]], [1, []], [45, []], [5, [5]], [2, []], [46, []], [4, [4, 16]], [8, []], [7, []], [6, [6]], [14, []], [12, []], [15, [15]], [16, []], [17, []], [47, []], [13, []], [9, [9]], [10, []], [11, [11]]]], [[[37, [37]]], [[39, [39, 25]]], [[3, [3]]], [[5, [5]]], [[4, [4, 16]]], [[6, [6]]], [[15, [15]]], [[9, [9]]], [[11, [11]]]]];2;2;2
50;RC101_2.dat;1233;[[[[0, [49, 25, 48, 18, 34, 19, 21, 31, 28, 33, 32, 23, 27, 26, 22, 30, 50, 29]], [22, []], [20, [20]], [24, [24]], [23, []], [25, []], [21, []], [18, []], [48, []], [49, []], [19, []], [33, []], [32, []], [34, []], [31, []], [27, []], [26, []], [28, []], [30, []], [29, []], [50, []]], [[0, [11, 16, 15, 5, 45, 4, 12, 7, 1, 43, 2, 46, 47, 17, 9, 13, 36, 42]], [10, [10]], [11, []], [12, []], [14, [14]], [17, []], [47, []], [15, []], [16, []], [13, []], [9, []], [6, [6, 3, 35]], [7, []], [2, []], [4, []], [8, [8]], [46, []], [45, []], [5, []], [3, [37, 44, 39]], [1, []], [43, []], [40, [40]], [36, []], [35, []], [37, []], [38, [38]], [39, []], [42, []], [44, []], [41, [41]]]], [[[10, [10]]], [[14, [14]]], [[20, [20]]], [[24, [24]]], [[6, [6, 3, 35]]], [[8, [8]]], [[3, [37, 44, 39]]], [[40, [40]]], [[38, [38]]], [[41, [41]]]]];2;2;4
50;RC101_2.dat;1133,749239;[[[[0, [26, 23, 35]], [23, []], [35, []], [38, [38, 36, 33, 28, 50]], [36, []], [41, [41, 44, 30, 29, 31]], [44, []], [42, [42, 34, 40, 37]], [37, []], [40, []], [39, [39, 32, 27]], [34, []], [33, []], [30, []], [32, []], [28, []], [26, []], [27, []], [29, []], [31, []], [50, []]], [[0, []], [1, [1, 13]], [43, [43, 46, 2, 11, 4, 16]], [3, [3, 5, 49]], [4, []], [5, []], [2, []], [14, [14, 10, 18, 22]], [13, []], [10, []], [46, [47, 8, 7]], [6, [6, 15, 45]], [8, []], [45, []], [7, []], [15, []], [47, []], [12, [12, 17]], [17, []], [16, []], [11, []], [9, [9, 25, 21]], [24, [24, 48, 19, 20]], [25, []], [21, []], [48, []], [18, []], [19, []], [49, []], [22, []], [20, []]]], [[[1, [1, 13]]], [[43, [43, 2, 4]]], [[43, [46, 11, 16]]], [[3, [3, 5, 49]]], [[14, [18, 22]]], [[14, [14, 10]]], [[38, [36, 28, 50]]], [[38, [38, 33]]], [[46, [47, 8, 7]]], [[6, [6, 15, 45]]], [[41, [41, 44, 31]]], [[41, [30, 29]]], [[42, [40, 37]]], [[42, [42, 34]]], [[39, [39, 32, 27]]], [[12, [12, 17]]], [[9, [9, 25, 21]]], [[24, [24, 19]]], [[24, [48, 20]]]]];2;2;8
50;RC101_2.dat_50;1272,517613;[[[[0, [19, 49, 9, 18, 48, 7, 6, 2, 15, 12, 17, 23, 21, 3, 46, 1, 45, 22]], [20, [20, 25, 16, 5]], [49, []], [25, []], [23, []], [21, []], [18, []], [48, []], [19, []], [22, []], [24, [24, 11, 4]], [9, []], [10, [10]], [11, []], [15, []], [16, []], [17, []], [47, [47, 13]], [13, []], [14, [14]], [12, []], [7, []], [6, []], [2, []], [3, []], [1, []], [5, []], [45, []], [4, []], [46, []], [8, [8]]], [[0, [50, 34, 26, 31, 29, 27, 36, 41, 33, 35, 28, 43, 32, 30, 42, 44]], [31, []], [29, []], [27, []], [26, []], [28, []], [32, []], [30, []], [33, []], [34, []], [50, []], [35, []], [36, []], [38, [38]], [39, [39, 37]], [37, []], [41, []], [40, [40]], [43, []], [44, []], [42, []]]], [[[20, [20]]], [[20, [25, 16, 5]]], [[24, [24]]], [[24, [11, 4]]], [[10, [10]]], [[47, [47, 13]]], [[14, [14]]], [[38, [38]]], [[39, [39, 37]]], [[40, [40]]], [[8, [8]]]]];2;2;4
50;RC101_3.dat;1620,802621;[[[[0, [14, 7, 9, 12, 11, 17, 16, 35, 43, 45, 15, 3, 4, 5, 1, 8, 44, 37, 36, 39]], [12, []], [14, []], [47, [47]], [17, []], [16, []], [15, []], [13, [13]], [9, []], [11, []], [10, [10]], [7, []], [8, []], [46, [46]], [5, []], [3, []], [1, []], [45, []], [4, []], [6, [6]], [2, [2]], [42, [42]], [44, []], [39, []], [38, [38]], [35, []], [37, []], [36, []], [40, [40]], [43, []]], [[0, [26, 27, 28, 29, 31, 30, 32, 34, 21, 33, 20, 49, 41, 50, 19, 18, 23, 48, 25]], [41, []], [50, []], [34, []], [31, []], [29, []], [27, []], [26, []], [28, []], [30, []], [32, []], [33, []], [19, []], [21, []], [18, []], [25, []], [23, []], [48, []], [49, []], [20, []], [22, [22, 24]], [24, []]]], [[[47, [47]]], [[13, [13]]], [[10, [10]]], [[46, [46]]], [[6, [6]]], [[2, [2]]], [[42, [42]]], [[38, [38]]], [[40, [40]]], [[22, [22, 24]]]]];2;2;2
50;RC101_3.dat;1543,751412;[[[[0, [16, 47, 45, 8, 1, 46, 7, 13, 14, 15, 36, 35, 38, 39, 12, 4, 40, 10, 42]], [12, []], [11, [11]], [14, []], [47, []], [17, [17]], [16, []], [15, []], [13, []], [9, [9, 37]], [10, []], [7, []], [6, [6, 2]], [2, []], [4, []], [45, []], [46, []], [8, []], [5, [5]], [3, [3]], [1, []], [43, [43]], [44, [44, 41]], [42, []], [39, []], [40, []], [36, []], [35, []], [37, []], [38, []], [41, []]], [[0, [20, 49, 28, 27, 24, 30, 22, 33, 26, 29, 32, 48, 18, 34, 50, 23, 21, 25]], [23, []], [21, []], [25, []], [48, []], [18, []], [19, [19, 31]], [49, []], [20, []], [24, []], [22, []], [33, []], [31, []], [29, []], [27, []], [26, []], [28, []], [30, []], [32, []], [34, []], [50, []]]], [[[11, [11]]], [[17, [17]]], [[9, [9, 37]]], [[19, [19, 31]]], [[6, [6, 2]]], [[5, [5]]], [[3, [3]]], [[43, [43]]], [[44, [44, 41]]]]];2;2;4
50;RC101_3.dat;1387,607881;[[[[0, []], [13, [13]], [16, [16]], [43, [43, 35, 4]], [35, []], [4, []], [3, [3, 11]], [5, [5, 2, 10]], [1, [1, 46]], [46, []], [7, [7]], [15, [15]], [11, []], [8, [8, 47, 17, 14]], [2, []], [12, [12, 9]], [14, []], [47, []], [17, []], [10, []], [9, [20, 21]], [20, [25, 48]], [48, []], [25, []], [21, []]], [[0, [26]], [26, []], [19, [19, 33, 23]], [33, []], [24, [24, 18, 49]], [23, []], [18, []], [49, []], [22, [22, 36, 31, 29]], [6, [6, 45, 50]], [45, []], [42, [42, 44, 39]], [44, []], [41, [41, 40, 28, 38]], [38, []], [39, []], [40, []], [36, []], [37, [37, 27, 34]], [50, [32, 30]], [34, []], [31, []], [29, []], [27, []], [28, []], [30, []], [32, []]]], [[[13, [13]]], [[16, [16]]], [[43, [43, 35, 4]]], [[19, [19, 33, 23]]], [[3, [3, 11]]], [[5, [5, 2, 10]]], [[1, [1, 46]]], [[24, [24, 18, 49]]], [[22, [22, 36, 31, 29]]], [[7, [7]]], [[6, [6, 45, 50]]], [[15, [15]]], [[8, [8, 47, 17, 14]]], [[42, [42, 44, 39]]], [[41, [41, 40, 28, 38]]], [[37, [37, 27, 34]]], [[12, [12, 9]]], [[9, [20, 21]]], [[50, [32, 30]]], [[20, [25, 48]]]]];2;2;8
50;RC101_3.dat_50;1580,925022;[[[[0, [49, 33, 32, 24, 20, 30, 50, 18, 48, 28, 26, 27, 34, 21, 23, 25, 31, 29]], [21, []], [23, []], [25, []], [18, []], [48, []], [19, [19, 22]], [49, []], [20, []], [22, []], [24, []], [33, []], [32, []], [30, []], [31, []], [29, []], [28, []], [26, []], [27, []], [34, []], [50, []]], [[0, [45, 13, 10, 11, 12, 14, 47, 7, 1, 35, 4, 46, 15, 39, 36]], [12, []], [14, []], [47, []], [17, [17]], [16, [16]], [11, []], [15, []], [13, []], [9, [9, 8, 40]], [10, []], [7, []], [6, [6, 2]], [2, []], [46, []], [8, []], [45, []], [4, []], [5, [5]], [3, [3]], [1, []], [43, [43]], [40, []], [36, []], [35, []], [37, [37, 44]], [44, []], [42, [42, 38]], [38, []], [39, []], [41, [41]]]], [[[17, [17]]], [[16, [16]]], [[9, [9, 8, 40]]], [[19, [19, 22]]], [[6, [6, 2]]], [[5, [5]]], [[3, [3]]], [[43, [43]]], [[37, [37, 44]]], [[42, [42, 38]]], [[41, [41]]]]];2;2;4
100;C101_0.5.dat;735;[[[[0, [12, 16, 18, 14, 17, 13, 15, 19, 11, 6, 7, 10, 97, 94, 4, 3, 28, 30, 86, 82, 83, 87, 93, 23, 92, 8, 9, 26]], [87, []], [82, []], [83, []], [86, []], [88, [88, 29]], [94, []], [93, []], [92, []], [97, []], [100, [100]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [11, []], [8, []], [9, []], [6, []], [4, []], [3, []], [7, []], [10, []], [23, []], [26, []], [28, []], [30, []], [29, []]], [[0, [53, 56, 58, 60, 59, 44, 51, 48, 52, 34, 31, 37, 38, 40, 39, 49, 57, 54, 55, 33, 46, 43, 42, 47, 41, 36, 32, 25, 50, 27, 24, 20, 22]], [59, []], [57, []], [55, []], [54, []], [53, []], [56, []], [58, []], [60, []], [41, []], [40, []], [44, []], [45, [45]], [48, []], [51, []], [52, []], [35, [35]], [37, []], [38, []], [39, []], [36, []], [34, []], [33, []], [32, []], [31, []], [50, []], [46, []], [42, []], [43, []], [47, []], [49, []], [20, []], [24, []], [27, []], [25, []], [22, []], [21, [21]]], [[0, [81, 80, 78, 73, 71, 70, 77, 79, 76, 74, 68, 64, 61, 65, 66, 84, 89, 2, 91, 85, 75, 69, 1, 62, 5, 63, 90, 67, 98, 96]], [67, []], [65, []], [63, []], [62, []], [66, []], [69, []], [68, []], [64, []], [61, []], [72, [72]], [74, []], [81, []], [78, []], [76, []], [71, []], [70, []], [73, []], [77, []], [79, []], [80, []], [84, []], [85, []], [89, []], [90, []], [91, []], [98, []], [95, [95]], [96, []], [99, [99]], [2, []], [1, []], [75, []], [5, []]]], [[[72, [72]]], [[88, [88, 29]]], [[45, [45]]], [[100, [100]]], [[35, [35]]], [[21, [21]]], [[95, [95]]], [[99, [99]]]]];3;3;2
100;C101_0.5.dat;715;[[[[0, [12, 96, 16, 100, 19, 13, 18, 17, 14, 95, 25, 99, 98, 2, 94, 27, 51, 10, 11, 1, 6, 30, 28, 4, 92, 93, 97, 7, 9, 8, 40]], [7, []], [10, []], [11, []], [9, []], [8, []], [6, []], [4, []], [1, []], [2, []], [98, []], [99, []], [96, []], [95, []], [94, []], [92, []], [93, []], [97, []], [100, []], [12, []], [14, []], [16, []], [15, [15]], [19, []], [18, []], [17, []], [13, []], [30, []], [28, []], [27, []], [25, []], [51, []], [40, []]], [[0, [38, 36, 22, 23, 26, 35, 20, 62, 31, 89, 24, 29, 91, 83, 3]], [20, []], [21, [21, 87, 84, 75, 43]], [22, []], [23, []], [26, []], [24, [69, 90]], [29, []], [34, [34, 85, 33]], [36, []], [39, [39]], [38, []], [37, [37]], [35, []], [33, []], [32, [32, 52, 42]], [31, []], [52, []], [49, [49, 86, 41]], [43, []], [42, []], [41, []], [69, []], [62, []], [63, [63]], [90, []], [89, []], [87, []], [82, [82]], [83, [88, 5]], [86, []], [84, []], [85, []], [88, []], [91, []], [75, []], [3, []], [5, []]], [[0, [81, 78, 80, 72, 76, 54, 79, 53, 56, 68, 70, 71, 77, 73, 58, 59, 67, 64, 61, 74, 66, 65, 57, 44, 50, 46, 55, 47]], [65, [60, 45, 48]], [67, []], [66, []], [74, []], [81, []], [78, []], [76, []], [71, []], [70, []], [73, []], [77, []], [79, []], [80, []], [72, []], [61, []], [64, []], [68, []], [55, []], [54, []], [53, []], [56, []], [58, []], [60, []], [59, []], [57, []], [44, []], [45, []], [48, []], [50, []], [46, []], [47, []]]], [[[21, [21, 75, 43]]], [[21, [87, 84]]], [[24, [69, 90]]], [[65, [60, 45, 48]]], [[34, [34, 85, 33]]], [[39, [39]]], [[37, [37]]], [[32, [32, 52, 42]]], [[49, [49]]], [[49, [86, 41]]], [[63, [63]]], [[15, [15]]], [[82, [82]]], [[83, [88, 5]]]]];3;3;4
100;C101_0.5.dat;671;[[[[0, [19, 15, 18, 94, 96, 97, 16, 99, 12, 14, 2, 98, 95, 100, 13, 10, 93, 8, 9, 30, 92, 25, 22, 27, 20, 6, 4]], [6, []], [4, []], [2, []], [98, []], [99, []], [96, []], [95, []], [94, []], [93, []], [92, []], [97, []], [100, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 28, 21]], [13, []], [9, []], [8, []], [10, []], [28, []], [30, []], [27, []], [25, []], [22, []], [21, []], [20, []]], [[0, [1]], [1, [23, 26, 64]], [11, [11, 35, 43, 66, 58, 33, 49, 57, 29]], [23, [69, 56, 31, 59, 46]], [26, []], [47, [47, 54]], [49, []], [43, []], [69, []], [66, []], [62, [62, 68, 60, 40, 32, 36, 61]], [61, []], [64, []], [68, []], [55, [55, 53, 45, 38, 48, 50, 52, 41, 42]], [57, []], [59, []], [54, []], [53, []], [56, []], [58, []], [60, []], [40, [37, 39, 34, 51, 44, 24]], [41, []], [42, []], [44, []], [46, []], [45, []], [48, []], [51, []], [50, []], [52, []], [31, []], [35, []], [37, []], [38, []], [39, []], [36, []], [34, []], [33, []], [32, []], [29, []], [24, []]], [[0, [73, 80, 77, 79, 70, 76, 67, 63, 89, 87, 7, 5]], [67, []], [65, [65, 74, 72, 71, 83, 84]], [63, []], [74, [81, 75, 78]], [72, []], [80, []], [79, []], [77, []], [73, []], [70, []], [71, []], [76, []], [78, []], [81, []], [83, []], [84, []], [89, []], [82, [82, 88, 85]], [87, []], [88, []], [85, []], [86, [86, 91]], [90, [90, 3]], [91, []], [75, []], [3, []], [5, []], [7, []]]], [[[1, [23, 26, 64]]], [[11, [49, 57, 29]]], [[11, [66, 58]]], [[11, [11, 35, 43, 33]]], [[23, [46]]], [[23, [69, 56, 31, 59]]], [[65, [71, 83, 84]]], [[47, [47, 54]]], [[65, [65, 74, 72]]], [[74, [81, 75, 78]]], [[62, [36, 61]]], [[62, [62, 68]]], [[62, [60, 40, 32]]], [[55, [55, 53]]], [[55, [50, 52, 41, 42]]], [[55, [45, 38, 48]]], [[40, [51, 44]]], [[40, [37, 39]]], [[40, [34, 24]]], [[17, [17, 28, 21]]], [[82, [82, 88, 85]]], [[86, [86, 91]]], [[90, [90, 3]]]]];3;3;8
100;C101_0.5.dat_100;791,8952647;[[[[0, [19, 11, 97, 87, 18, 10, 13, 75, 91, 67, 5, 2, 3, 1, 83, 4, 89]], [7, [7, 84, 14, 16]], [75, []], [2, []], [1, []], [8, [8, 74]], [6, [6]], [4, []], [3, []], [5, []], [10, []], [11, []], [13, []], [17, [17, 12]], [18, []], [19, []], [15, [15]], [14, []], [16, []], [12, []], [100, [100, 88]], [97, []], [95, [95, 90]], [98, [98]], [91, []], [89, []], [88, []], [86, [86]], [84, []], [82, [82]], [83, []], [87, []], [90, []], [74, []], [66, [66]], [67, []]], [[0, [56, 53, 54, 59, 38, 35, 33, 36, 29, 46, 49, 57, 58, 20, 24, 23, 26]], [20, []], [21, [21, 50]], [23, []], [22, [22]], [52, [52, 42, 45]], [51, [51]], [48, [48, 32, 60]], [50, []], [42, []], [45, []], [59, []], [57, []], [55, [55]], [54, []], [53, []], [56, []], [58, []], [60, []], [44, [44]], [46, []], [47, [47]], [49, []], [31, [31]], [32, []], [33, []], [35, []], [37, [37]], [38, []], [39, [39]], [36, [34, 27, 25]], [34, []], [29, []], [30, [30]], [26, []], [28, [28]], [27, []], [25, []], [24, []]], [[0, [65, 63, 79, 93, 96, 77, 73, 70, 71, 80, 40, 81, 76, 68, 64, 94, 92, 72, 9, 62, 78]], [65, []], [63, []], [64, []], [68, []], [40, []], [41, [41, 85, 43]], [43, []], [69, [69, 99]], [62, []], [61, [61]], [72, []], [80, []], [79, []], [77, []], [73, []], [70, []], [71, []], [76, []], [78, []], [81, []], [85, []], [92, []], [93, []], [94, []], [96, []], [99, []], [9, []]]], [[[7, [84, 14, 16]]], [[7, [7]]], [[21, [21, 50]]], [[22, [22]]], [[8, [8, 74]]], [[6, [6]]], [[52, [52, 42, 45]]], [[51, [51]]], [[48, [48, 32, 60]]], [[17, [17, 12]]], [[41, [41, 85, 43]]], [[15, [15]]], [[69, [69, 99]]], [[61, [61]]], [[55, [55]]], [[100, [100, 88]]], [[95, [95, 90]]], [[98, [98]]], [[44, [44]]], [[47, [47]]], [[86, [86]]], [[31, [31]]], [[82, [82]]], [[37, [37]]], [[39, [39]]], [[36, [34, 27, 25]]], [[66, [66]]], [[30, [30]]], [[28, [28]]]]];3;3;4
